Index,File,Predicted,Expected,Deviation
0,0.0_759b6e62af23ccf905789eeb80c9f440.jpg,0.8,0.0,0.8
1,7.0_3488_analog4_20200813-185654.jpg,7.3,7.0,0.3
2,3.7_main_ana3_20221213-123635.jpg,3.4,3.7,0.3
3,8.9_analog3_20200928-135043.jpg,9.2,8.9,0.3
4,2.8_c935920d63548bb1cf8f1785db97a57d.jpg,2.5,2.8,0.3
5,2.9_2ad3dd7d058798612aef75f5f958534d.jpg,2.6,2.9,0.3
6,7.9_4fc59d4990b9ab81712f18c24f52f6e9.jpg,8.2,7.9,0.3
7,9.4_4751_zeiger2_2019-09-15_05-40-13.jpg,9.6,9.4,0.2
8,0.4_0163_zeiger3_2019-09-14_23-10-12.jpg,0.6,0.4,0.2
9,9.6_ana2_20220626-001213.jpg,9.8,9.6,0.2
10,8.0.jpg,8.2,8.0,0.2
11,7.1_08ecf92764f24292cfb76b25f6b5d058.jpg,7.3,7.1,0.2
12,6.9_cd9c8efecb714713a8f85338085f5b71.jpg,7.1,6.9,0.2
13,7.1_3668_zeiger4_2020-04-29_11-33-02.jpg,7.3,7.1,0.2
14,6.1_11649e59b8791e5dfb8736ab0f6750a5.jpg,6.3,6.1,0.2
15,2.4_659d105478a8218795108bae1d2322f4.jpg,2.6,2.4,0.2
16,4.4_7a43d7be2291c5ce871fe11e8cfc0780.jpg,4.2,4.4,0.2
17,2.2_58b09e2fe292169319da6ed218fa5e1d.jpg,2.4,2.2,0.2
18,7.1_084b7c893e036c81de1f3b0978c85063.jpg,7.3,7.1,0.2
19,7.1_00fa09e89e4064e516ea32b54cb19eed.jpg,7.3,7.1,0.2
20,2.1_ee404f2812e4b7d37ab339487ed423fa.jpg,2.3,2.1,0.2
21,7.1_ana3_20220626-000213.jpg,7.3,7.1,0.2
22,3.4_1689_zeiger3_2019-11-19_09-32-03.jpg,3.6,3.4,0.2
23,6.2_23ec872b3a5c8a44f08035d2cd82eaed.jpg,6.0,6.2,0.2
24,2.9_3dad68cbee6e9bbacba1dca664f35dff.jpg,2.7,2.9,0.2
25,7.7_20ffb634c71bab8fc9be118607e8147f.jpg,7.9,7.7,0.2
